document_id,url,title,published_date,topics,word_count,event_candidates,person_candidates,selection_reason,is_press_release_gold,reviewer,reviewer_notes
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,Dominican national arrested for assaulting ICE agents in Puerto Rico,2025-08-04,Enforcement and Removal,383,5,0,seeded_random,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,"ICE’s 287g partnership with Oklahoma Highway Patrol nets 120 illegal alien arrests, 91 driving with CDL licenses, in 3-day operation",2025-10-14,287g Immigration and Nationality Act,644,12,0,contains_table,,,
19188808896af4e3b5fd,https://www.ice.gov/news/releases/ice-investigation-leads-extradition-racketeering-charge-international-ms-13-gang,"ICE investigation leads to extradition, racketeering charge for international MS-13 gang leader",2025-03-10,Transnational Gangs,752,2,3,seeded_random,,,
1dd1d30fc0b7d0d1a4d9,https://www.ice.gov/news/releases/ice-newark-law-enforcement-partners-arrest-illegal-alien-arrest-warrants,"ICE Newark, law enforcement partners arrest illegal alien with arrest warrants",2025-03-17,Enforcement and Removal,242,4,0,seeded_random,,,
231ff3d752e0d8a0f88b,https://www.ice.gov/news/releases/ice-aids-investigation-leading-conviction-3-ms-13-gang-members,ICE aids in investigation leading to conviction of 3 MS-13 gang members,2025-09-28,Transnational Gangs,189,1,2,seeded_random,,,
2ecac70a82f3da5951ae,https://www.ice.gov/news/releases/former-city-commissioner-west-covina-california-sentenced-child-exploitation,"Former city commissioner for West Covina, California sentenced for child exploitation violations, following ICE investigation",2025-03-21,Child Exploitation,314,1,0,seeded_random,,,
347b467fcd873a1418b5,https://www.ice.gov/news/releases/8-venezuelan-illegal-aliens-ties-tren-da-aragua-are-charged-transnational-commercial,8 Venezuelan illegal aliens with ties to Tren da Aragua are charged with transnational commercial sex enterprise crimes,2025-02-14,Transnational Gangs | Human Smuggling/Trafficking | National Security | Organized Crime | Partnership and Engagement,756,11,2,multi_topic,,,
35efd1da98de3e686efa,https://www.ice.gov/news/releases/panama-express-strike-force-interdicts-nearly-510-million-illegal-narcotics-eastern,Panama Express Strike Force interdicts nearly $510 million in illegal narcotics in Eastern Pacific Ocean,2025-04-11,Narcotics | Partnership and Engagement | Organized Crime,820,10,0,multi_topic,,,
5207e20be79eb22e8fb1,https://www.ice.gov/news/releases/ice-boston-arrests-illegal-fugitive-wanted-aggravated-homicide-el-salvador,ICE Boston arrests illegal fugitive wanted for aggravated homicide in El Salvador,2025-02-07,Enforcement and Removal,233,2,0,seeded_random,,,
56119ff5c0ad6145885b,https://www.ice.gov/news/releases/ocala-man-sentenced-15-years-attempting-meet-minor-sexual-activity,Ocala man sentenced to 15 years for attempting to meet a minor for sexual activity,2025-02-03,Child Exploitation,417,2,0,seeded_random,,,
5997b7befbc27dbde5c6,https://www.ice.gov/news/releases/criminal-illegal-alien-sentenced-nearly-20-years-leading-cartel-linked-drug,Criminal illegal alien sentenced to nearly 20 years for leading cartel-linked drug trafficking operation,2026-03-05,Narcotics | Organized Crime | Transnational Gangs,510,5,1,multi_topic,,,
5d757204e5c0e7a82774,https://www.ice.gov/news/releases/social,Social Media,2020-05-20,,240,0,0,quarantine,,,
6fb6db5bea5823abf54b,https://www.ice.gov/news/releases/ice-federal-partners-arrest-illegal-honduran-national-charged-incest-sex-crimes,"ICE, federal partners arrest illegal Honduran national charged with incest, sex crimes in Virginia",2025-04-15,Enforcement and Removal,320,8,1,seeded_random,,,
780cb435f61c8500779f,https://www.ice.gov/news/releases/15-suspected-gang-members-indicted-drug-trafficking-scheme,15 suspected gang members indicted for drug trafficking scheme,2025-05-27,"Firearms, Ammunition and Explosives | Narcotics | Transnational Gangs",609,9,2,multi_topic,,,
85a8c2d466fb86ca48a6,https://www.ice.gov/news/releases/ice-boston-arrests-5-foreign-fugitives-wanted-murder-month,ICE Boston arrests 5 foreign fugitives wanted for murder in a month,2026-04-16,Enforcement and Removal | Law Enforcement,367,8,0,seeded_random,,,
