dateline_region,documents,share_of_known
TX,164,0.17012448132780084
DC,100,0.1037344398340249
MA,87,0.09024896265560166
FL,82,0.08506224066390042
CA,76,0.07883817427385892
NY,70,0.07261410788381743
AZ,44,0.04564315352697095
NJ,44,0.04564315352697095
PA,39,0.04045643153526971
MD,26,0.026970954356846474
VA,26,0.026970954356846474
PR,16,0.016597510373443983
LA,14,0.014522821576763486
WA,12,0.012448132780082987
IL,12,0.012448132780082987
CT,12,0.012448132780082987
OH,12,0.012448132780082987
NM,11,0.011410788381742738
GA,11,0.011410788381742738
MI,11,0.011410788381742738
CO,10,0.01037344398340249
RI,10,0.01037344398340249
NC,9,0.00933609958506224
MN,8,0.008298755186721992
OK,6,0.006224066390041493
MO,5,0.005186721991701245
TN,5,0.005186721991701245
IN,5,0.005186721991701245
MS,5,0.005186721991701245
NE,5,0.005186721991701245
UT,4,0.004149377593360996
AL,4,0.004149377593360996
ME,3,0.0031120331950207467
OR,2,0.002074688796680498
WV,2,0.002074688796680498
ID,2,0.002074688796680498
KY,2,0.002074688796680498
SD,2,0.002074688796680498
NH,2,0.002074688796680498
VT,1,0.001037344398340249
SC,1,0.001037344398340249
IA,1,0.001037344398340249
Peru,1,0.001037344398340249
