topic,documents,share_of_documents_with_topics
Enforcement and Removal,485,0.5031120331950207
Child Exploitation,105,0.10892116182572614
Human Smuggling/Trafficking,64,0.06639004149377593
Narcotics,61,0.06327800829875518
Detainee Death Notifications,50,0.05186721991701245
Worksite Enforcement,44,0.04564315352697095
Financial Crimes,43,0.044605809128630707
Transnational Gangs,40,0.04149377593360996
Document and Benefit Fraud,25,0.025933609958506226
National Security,24,0.024896265560165973
"Firearms, Ammunition and Explosives",21,0.021784232365145227
Law Enforcement,20,0.02074688796680498
Organized Crime,19,0.01970954356846473
Human Rights Violators,15,0.015560165975103735
Statement,14,0.014522821576763486
Partnership and Engagement,9,0.00933609958506224
Contraband,7,0.007261410788381743
Cyber Crimes,7,0.007261410788381743
Intellectual Property Rights and Commercial Fraud,7,0.007261410788381743
Operational,7,0.007261410788381743
287g Immigration and Nationality Act,5,0.005186721991701245
Covid-19,3,0.0031120331950207467
Student and Exchange Visitor Program,3,0.0031120331950207467
"Cultural Property, Art and Antiquities Investigations",2,0.002074688796680498
Human Trafficking,2,0.002074688796680498
Employee Spotlight,1,0.001037344398340249
